name,CollectionSite,Address 1,City,state,postal,googleMapsUrl,address,source,source_date
AUBURN POLICE DEPARTMENT,BEDARD PHARMACY FRONT PARKING LOT,359 MINOT AVE,AUBURN,ME,4210,"http://maps.google.com/maps?q=359 MINOT AVE,+AUBURN,+ME+04210&hl=en","359 MINOT AVE, AUBURN, ME 04210",DEA,NTBD_2018_OCT
AUGUSTA POLICE DEPARTMENT,AUGUSTA POLICE DEPARTMENT,33 UNION STREETSUITE #1,AUGUSTA,ME,4330,"http://maps.google.com/maps?q=33 UNION STREET,+AUGUSTA,+ME+04330&hl=en","33 UNION STREETSUITE #1, AUGUSTA, ME 04330",DEA,NTBD_2018_OCT
BURLINGTON POLICE DEPARTMENT,BURLINGTON POLICE DEPARTMENT NORTH LOBBY,1 NORTH AVE,BURLINGTON,VT,5401,"http://maps.google.com/maps?q=1 NORTH AVE,+BURLINGTON,+VT+05401&hl=en","1 NORTH AVE, BURLINGTON, VT 05401",DEA,NTBD_2018_OCT
CHITTENDEN COUNTY SHERIFF'S OFFICE,PRICE CHOPPER SUPERMARKET,595 SHELBURNE ROAD,BURLINGTON,VT,5401,"http://maps.google.com/maps?q=595 SHELBURNE ROAD,+BURLINGTON,+VT+05401&hl=en","595 SHELBURNE ROAD, BURLINGTON, VT 05401",DEA,NTBD_2018_OCT
CLINTON POLICE DEPARTMENT,CLINTON POLICE DEPARTMENT,27 BAKER STREET,CLINTON,ME,4927,"http://maps.google.com/maps?q=27 BAKER STREET,+CLINTON,+ME+04927&hl=en","27 BAKER STREET, CLINTON, ME 04927",DEA,NTBD_2018_OCT
COLCHESTER POLICE DEPARTNEBT,COLCHESTER POLICE DEPARTMENT CHIEF DOUGLAS ALLEN,835 BLAKELY ROAD,COLCHESTER,VT,5446,"http://maps.google.com/maps?q=835 BLAKELY ROAD,+COLCHESTER,+VT+05446&hl=en","835 BLAKELY ROAD, COLCHESTER, VT 05446",DEA,NTBD_2018_OCT
CUMBERLAND POLICE DEPARTMENT,CUMBERLAND POLICE DEPARTMENT,290 TUTTLE ROAD,CUMBERLAND CENTER,ME,4021,"http://maps.google.com/maps?q=290 TUTTLE ROAD,+CUMBERLAND CENTER,+ME+04021&hl=en","290 TUTTLE ROAD, CUMBERLAND CENTER, ME 04021",DEA,NTBD_2018_OCT
DEXTER POLICE DEPARTMENT,DEXTER POLICE STATION COLLECTION BOX IN LOBBY,1 MAIN STREET,DEXTER,ME,4930,"http://maps.google.com/maps?q=1 MAIN STREET,+DEXTER,+ME+04930&hl=en","1 MAIN STREET, DEXTER, ME 04930",DEA,NTBD_2018_OCT
DIXFIELD POLICE DEPARTMENT,DIXFIELD POLICE DEPARTMENT,236 MAIN STREET,DIXFIELD,ME,4224,"http://maps.google.com/maps?q=236 MAIN STREET,+DIXFIELD,+ME+04224&hl=en","236 MAIN STREET, DIXFIELD, ME 04224",DEA,NTBD_2018_OCT
ESSEX POLICE DEPARTMENT,ESSEX POLICE DEPARTMENT,145 MAPLE STREET,ESSEX JUNCTION,VT,5452,"http://maps.google.com/maps?q=145 MAPLE STREET,+ESSEX JUNCTION,+VT+05452&hl=en","145 MAPLE STREET, ESSEX JUNCTION, VT 05452",DEA,NTBD_2018_OCT
ESSEX POLICE DEPARTMENT,KINNEY DRUGS PHARMACY,82 PEARL STREET,ESSEX JUNCTION,VT,5452,"http://maps.google.com/maps?q=82 PEARL STREET,+ESSEX JUNCTION,+VT+05452&hl=en","82 PEARL STREET, ESSEX JUNCTION, VT 05452",DEA,NTBD_2018_OCT
FAIRFIELD POLICE DEPARTMENT,FAIRFIELD POLICE DEPARTMENT,1 POLICE PLAZA,FAIRFIELD,ME,4937,"http://maps.google.com/maps?q=1 POLICE PLAZA,+FAIRFIELD,+ME+04937&hl=en","1 POLICE PLAZA, FAIRFIELD, ME 04937",DEA,NTBD_2018_OCT
FALMOUTH POLICE DEPARTMENT,FALMOUTH POLICE DEPARTMENT,2 MARSHALL DRIVE,FALMOUTH,ME,4105,"http://maps.google.com/maps?q=2 MARSHALL DRIVE,+FALMOUTH,+ME+04105&hl=en","2 MARSHALL DRIVE, FALMOUTH, ME 04105",DEA,NTBD_2018_OCT
FARMINGTON POLICE DEPARTMENT,FARMINGTON POLICE DEPARTMENT MEDICATION COLLECTION BOX IN LOBBY,116 FRANKLIN AVENUE,FARMINGTON,ME,4938,"http://maps.google.com/maps?q=116 FRANKLIN AVENUE,+FARMINGTON,+ME+04938&hl=en","116 FRANKLIN AVENUE, FARMINGTON, ME 04938",DEA,NTBD_2018_OCT
FRANKLIN COUNTY SHERIFF'S OFFICE,FRANKLIN COUNTY SHERIFF'S OFFICE,123 COUNTY WAY,FARMINGTON,ME,4938,"http://maps.google.com/maps?q=123 COUNTY WAY,+FARMINGTON,+ME+04938&hl=en","123 COUNTY WAY, FARMINGTON, ME 04938",DEA,NTBD_2018_OCT
GRAND ISLE COUNTY SHERIFF'S DEPARTMENT,ALBURGH FIRE DEPARTMENT,60 FIREHOUSE ROAD,ALBURGH,VT,5440,"http://maps.google.com/maps?q=60 FIREHOUSE ROAD,+ALBURGH,+VT+05440&hl=en","60 FIREHOUSE ROAD, ALBURGH, VT 05440",DEA,NTBD_2018_OCT
GRAND ISLE COUNTY SHERIFF'S DEPARTMENT,SOUTH HERO RESCUE BUILDING,329 US RT 2,SOUTH HERO,VT,5486,"http://maps.google.com/maps?q=329 US RT 2,+SOUTH HERO,+VT+05486&hl=en","329 US RT 2, SOUTH HERO, VT 05486",DEA,NTBD_2018_OCT
GREENVILLE POLICE DEPARTMENT,GREENVILLE POLICE DEPARTMENT,7 MINDEN ST,GREENVILLE,ME,4441,"http://maps.google.com/maps?q=7 MINDEN ST,+GREENVILLE,+ME+04441&hl=en","7 MINDEN ST, GREENVILLE, ME 04441",DEA,NTBD_2018_OCT
HALLOWELL POLICE DEPARTMENT,HALLOWELL POLICE DEPARTMENT,1 WINTHROP STREET,HALLOWELL,ME,4347,"http://maps.google.com/maps?q=1 WINTHROP STREET,+HALLOWELL,+ME+04347&hl=en","1 WINTHROP STREET, HALLOWELL, ME 04347",DEA,NTBD_2018_OCT
JAY POLICE DEPARTMENT,JAY POLICE DEPARTMENT,340 MAIN STREET,JAY,ME,4239,"http://maps.google.com/maps?q=340 MAIN STREET,+JAY,+ME+04239&hl=en","340 MAIN STREET, JAY, ME 04239",DEA,NTBD_2018_OCT
KENNEBEC COUNTY SHERIFF'S OFFICE,BELGRADE TRANSFER STATION OPERATED BY KENNEBEC COUNTY SHERIFF'S OFFICE,6 MANCHESTER ROAD,BELGRADE,ME,4917,"http://maps.google.com/maps?q=6 MANCHESTER ROAD,+BELGRADE,+ME+04917&hl=en","6 MANCHESTER ROAD, BELGRADE, ME 04917",DEA,NTBD_2018_OCT
KENNEBEC COUNTY SHERIFF'S OFFICE,KENNEBEC SHERIFFS OFFICE OPERATED BY KENNEBEC COUNTY SHERIFF'S OFFICE,125 STATE STREET,AUGUSTA,ME,4330,"http://maps.google.com/maps?q=125 STATE STREET,+AUGUSTA,+ME+04330&hl=en","125 STATE STREET, AUGUSTA, ME 04330",DEA,NTBD_2018_OCT
KENNEBEC COUNTY SHERIFF'S OFFICE,LITCHFIELD TRANSFER STATION OPERATED BY KENNEBEC COUNTY SHERIFF'S OFFICE,2274 HALLOWELL RD,LITCHFIELD,ME,4350,"http://maps.google.com/maps?q=2274 HALLOWELL RD,+LITCHFIELD,+ME+04350&hl=en","2274 HALLOWELL RD, LITCHFIELD, ME 04350",DEA,NTBD_2018_OCT
KENNEBEC COUNTY SHERIFF'S OFFICE,READFIELD/WAYNE TRANSFER STATION OPERATED BY KENNEBEC COUNTY SHERIFF'S OFFICE,8 OLD KENTS HILL ROAD,READFIELD,ME,4355,"http://maps.google.com/maps?q=8 OLD KENTS HILL ROAD,+READFIELD,+ME+04355&hl=en","8 OLD KENTS HILL ROAD, READFIELD, ME 04355",DEA,NTBD_2018_OCT
LAMOILLE COUNTY SHERIFFS DEPT,KINNEY DRUGS,155 S MAIN ST,CAMBRIDGE,VT,5444,"http://maps.google.com/maps?q=155 S MAIN ST,+CAMBRIDGE,+VT+05444&hl=en","155 S MAIN ST, CAMBRIDGE, VT 05444",DEA,NTBD_2018_OCT
LEWISTON POLICE DEPARTMENT,LEWISTON HIGH SCHOOL OPERATED BY LEWISTON PD,156 EAST AVENUE,LEWISTON,ME,4240,"http://maps.google.com/maps?q=156 EAST AVENUE,+LEWISTON,+ME+04240&hl=en","156 EAST AVENUE, LEWISTON, ME 04240",DEA,NTBD_2018_OCT
LISBON POLICE DEPARTMENT,LISBON POLICE DEPARTMENT,300 LISBON ST,LISBON,ME,4250,"http://maps.google.com/maps?q=300 LISBON ST,+LISBON,+ME+04250&hl=en","300 LISBON ST, LISBON, ME 04250",DEA,NTBD_2018_OCT
LIVERMORE FALLS POLICE DEPARTMENT,LIVERMORE FALLS POLICE DEPARTMENT,2 MAIN STREET,LIVERMORE FALLS,ME,4254,"http://maps.google.com/maps?q=2 MAIN STREET,+LIVERMORE FALLS,+ME+04254&hl=en","2 MAIN STREET, LIVERMORE FALLS, ME 04254",DEA,NTBD_2018_OCT
MAINE STATE POLICE - TROOP C,MAINE STATE POLICE - TROOP C,162 WEST FRONT STREET,SKOWHEGAN,ME,4976,"http://maps.google.com/maps?q=162 WEST FRONT STREET,+SKOWHEGAN,+ME+04976&hl=en","162 WEST FRONT STREET, SKOWHEGAN, ME 04976",DEA,NTBD_2018_OCT
MEXICO POLICE DEPARTMENT,MEXICO TOWN OFFICE OPERATED BY MEXICO PD,134 MAIN STREET,MEXICO,ME,4257,"http://maps.google.com/maps?q=134 MAIN STREET,+MEXICO,+ME+04257&hl=en","134 MAIN STREET, MEXICO, ME 04257",DEA,NTBD_2018_OCT
MILTON POLICE DEPARTMENT,KINNEY DRUGS PHARMACY,3 CENTRE DRIVE,MILTON,VT,5468,"http://maps.google.com/maps?q=3 CENTRE DRIVE,+MILTON,+VT+05468&hl=en","3 CENTRE DRIVE, MILTON, VT 05468",DEA,NTBD_2018_OCT
MONMOUTH POLICE DEPARTMENT,MONMOUTH TRANSFER STATION OPERATED BY MONMOUTH PD,126 ROUTE 135,MONMOUTH,ME,4259,"http://maps.google.com/maps?q=126 ROUTE 135,+MONMOUTH,+ME+04259&hl=en","126 ROUTE 135, MONMOUTH, ME 04259",DEA,NTBD_2018_OCT
OAKLAND POLICE DEPARTMENT,OAKLAND POLICE DEPARTMENT,7 FAIRFIELD STREET,OAKLAND,ME,4963,"http://maps.google.com/maps?q=7 FAIRFIELD STREET,+OAKLAND,+ME+04963&hl=en","7 FAIRFIELD STREET, OAKLAND, ME 04963",DEA,NTBD_2018_OCT
OLD ORCHARD BEACH POLICE DEPARTMENT,OLD ORCHARD POLICE DEPARTMENT MAIN ENTRANCE,16E EMERSON CUMMINGS BOULEVARD,OLD ORCHARD BEACH,ME,4064,"http://maps.google.com/maps?q=16E EMERSON CUMMINGS BOULEVARD,+OLD ORCHARD BEACH,+ME+04064&hl=en","16E EMERSON CUMMINGS BOULEVARD, OLD ORCHARD BEACH, ME 04064",DEA,NTBD_2018_OCT
PITTSFIELD POLICE DEPARTMENT,PITTSFIELD POLICE DEPARTMENT,112 SOMERSET AVENUE,PITTSFIELD,ME,4967,"http://maps.google.com/maps?q=112 SOMERSET AVENUE,+PITTSFIELD,+ME+04967&hl=en","112 SOMERSET AVENUE, PITTSFIELD, ME 04967",DEA,NTBD_2018_OCT
PLATTSBURGH POLICE DEPARTMENT,KINNEY DRUGS,288 CORNELIA ST,PLATTSBURGH,NY,12901,"http://maps.google.com/maps?q=288 CORNELIA ST,+PLATTSBURGH,+NY+12901&hl=en","288 CORNELIA ST, PLATTSBURGH, NY 12901",DEA,NTBD_2018_OCT
PLATTSBURGH POLICE DEPARTMENT,PLATTSBURGH PD,45 PINE STREET,PLATTSBURGH,NY,12901,"http://maps.google.com/maps?q=45 PINE STREET,+PLATTSBURGH,+NY+12901&hl=en","45 PINE STREET, PLATTSBURGH, NY 12901",DEA,NTBD_2018_OCT
RANGELEY POLICE DEPARTMENT,IGA SUPERMARKET OPERATED BY RANGELEY PD,2185 MAIN STREET,RANGELEY,ME,4970,"http://maps.google.com/maps?q=2185 MAIN STREET,+RANGELEY,+ME+04970&hl=en","2185 MAIN STREET, RANGELEY, ME 04970",DEA,NTBD_2018_OCT
RUMFORD POLICE DEPARTMENT,RUMFORD POLICE DEPARTMENT,150 RIVER STREET,RUMFORD,ME,4276,"http://maps.google.com/maps?q=150 RIVER STREET,+RUMFORD,+ME+04276&hl=en","150 RIVER STREET, RUMFORD, ME 04276",DEA,NTBD_2018_OCT
SABATTUS POLICE DEPARTMENT,SABATTUS POLICE DEPARTMENT,190 MIDDLE ROAD,SABATTUS,ME,4280,"http://maps.google.com/maps?q=190 MIDDLE ROAD,+SABATTUS,+ME+04280&hl=en","190 MIDDLE ROAD, SABATTUS, ME 04280",DEA,NTBD_2018_OCT
SCARBOROUGH POLICE DEPARTMENT,SCARBOROUGH POLICE DEPARTMENT SGT TIM BARKER,246 US RTE. 1,SCARBOROUGH,ME,4074,"http://maps.google.com/maps?q=246 US RTE. 1,+SCARBOROUGH,+ME+04074&hl=en","246 US RTE. 1, SCARBOROUGH, ME 04074",DEA,NTBD_2018_OCT
SHELBURNE POLICE DEPARTMENT,SHELBURNE POLICE DEPARTMENT,5420 SHELBURNE ROAD,SHELBURNE,VT,5482,"http://maps.google.com/maps?q=5420 SHELBURNE ROAD,+SHELBURNE,+VT+05482&hl=en","5420 SHELBURNE ROAD, SHELBURNE, VT 05482",DEA,NTBD_2018_OCT
SKOWHEGAN POLICE DEPARTMENT,SKOWHEGAN POLICE DEPARTMENT,225 WATER STREET,SKOWHEGAN,ME,4976,"http://maps.google.com/maps?q=225 WATER STREET,+SKOWHEGAN,+ME+04976&hl=en","225 WATER STREET, SKOWHEGAN, ME 04976",DEA,NTBD_2018_OCT
SOMERSET COUNTY SHERIFF'S OFFICE,SOMERSET COUNTY SHERIFF'S OFFICE JACKMAN DIVISION,HEALD STREAM ROAD,JACKMAN,ME,4945,"http://maps.google.com/maps?q=HEALD STREAM ROAD,+JACKMAN,+ME+04945&hl=en","HEALD STREAM ROAD, JACKMAN, ME 04945",DEA,NTBD_2018_OCT
SOMERSET COUNTY SHERIFF'S OFFICE,SOMERSET COUNTY SHERIFF'S OFFICE JAIL LOBBY,131 EAST MADISON ROAD,MADISON,ME,4950,"http://maps.google.com/maps?q=131 EAST MADISON ROAD,+MADISON,+ME+04950&hl=en","131 EAST MADISON ROAD, MADISON, ME 04950",DEA,NTBD_2018_OCT
SOMERSET COUNTY SHERIFF'S OFFICE,SOMERSET COUNTY SHERIFF'S OFFICE MADISON DIVISION,26 WESTON AVENUE,MADISON,ME,4950,"http://maps.google.com/maps?q=26 WESTON AVENUE,+MADISON,+ME+04950&hl=en","26 WESTON AVENUE, MADISON, ME 04950",DEA,NTBD_2018_OCT
SOUTH BURLINGTON POLICE DEPARTMENT,UNIVERSITY MALL,155 DORSET STREET,SOUTH BURLINGTON,VT,5403,"http://maps.google.com/maps?q=155 DORSET STREET,+SOUTH BURLINGTON,+VT+05403&hl=en","155 DORSET STREET, SOUTH BURLINGTON, VT 05403",DEA,NTBD_2018_OCT
SWANTON VILLAGE POLICE,SWANTON REXALL DRUGS,44 MERCHANTS ROW,SWANTON,VT,5488,"http://maps.google.com/maps?q=44 MERCHANTS ROW,+SWANTON,+VT+05488&hl=en","44 MERCHANTS ROW, SWANTON, VT 05488",DEA,NTBD_2018_OCT
TICONDERGOA POLICE DEPARTMENT,TICONDEROGA POLICE DEPARTMENT,135 BURGOYNE ROAD,TICONDEROGA,NY,12883,"http://maps.google.com/maps?q=135 BURGOYNE ROAD,+TICONDEROGA,+NY+12883&hl=en","135 BURGOYNE ROAD, TICONDEROGA, NY 12883",DEA,NTBD_2018_OCT
UNIVERSITY OF VERMONT POLICE,UNIVERSITY OF VERMONT POLICE DUDLEY DAVIS CENTER FIRST FLOOR ATRIUM,284 EAST AVENUE,BURLINGTON,VT,5405,"http://maps.google.com/maps?q=284 EAST AVENUE,+BURLINGTON,+VT+05405&hl=en","284 EAST AVENUE, BURLINGTON, VT 05405",DEA,NTBD_2018_OCT
VERMONT STATE POLICE,VERMONT STATE POLICE - NEW HAVEN BARRACKS,2490 ETHAN ALLEN HIGHWAY,NEW HAVEN,VT,5472,"http://maps.google.com/maps?q=2490 ETHAN ALLEN HIGHWAY,+NEW HAVEN,+VT+05472&hl=en","2490 ETHAN ALLEN HIGHWAY, NEW HAVEN, VT 05472",DEA,NTBD_2018_OCT
VERMONT STATE POLICE,VERMONT STATE POLICE - ST. ALBANS BARRACKS,140 FISHER POND ROAD,SAINT ALBANS,VT,5478,"http://maps.google.com/maps?q=140 FISHER POND ROAD,+SAINT ALBANS,+VT+05478&hl=en","140 FISHER POND ROAD, SAINT ALBANS, VT 05478",DEA,NTBD_2018_OCT
VERMONT STATE POLICE - WILLISTON BARRACKS,VERMONT STATE POLICE - WILLISTON BARRACKS,2777 ST. GEORGE ROAD,WILLISTON,VT,5495,"http://maps.google.com/maps?q=2777 ST. GEORGE ROAD,+WILLISTON,+VT+05495&hl=en","2777 ST. GEORGE ROAD, WILLISTON, VT 05495",DEA,NTBD_2018_OCT
WATERVILLE POLICE DEPARTMENT,WATERVILLE POLICE DEPARTMENT INSIDE LOBBY,10 COLBY ST,WATERVILLE,ME,4901,"http://maps.google.com/maps?q=10 COLBY ST,+WATERVILLE,+ME+04901&hl=en","10 COLBY ST, WATERVILLE, ME 04901",DEA,NTBD_2018_OCT
WILTON POLICE DEPARTMENT,WILTON POLICE DEPARTMENT,874 MAIN STREET,WILTON,ME,4294,"http://maps.google.com/maps?q=874 MAIN STREET,+WILTON,+ME+04294&hl=en","874 MAIN STREET, WILTON, ME 04294",DEA,NTBD_2018_OCT
WINSLOW POLICE DEPARTMENT,WINSLOW POLICE DEPARTMENT MOBIL COLLECTION SITE,114 BENTON AVENUEMOBIL UNIT,WINSLOW,ME,4901,"http://maps.google.com/maps?q=114 BENTON AVENUE,+WINSLOW,+ME+04901&hl=en","114 BENTON AVENUEMOBIL UNIT, WINSLOW, ME 04901",DEA,NTBD_2018_OCT
WINTHROP POLICE DEPARTMENT,WINTHROP POLICE DEPARTMENT,15 TOWN HALL LANE,WINTHROP,ME,4364,"http://maps.google.com/maps?q=15 TOWN HALL LANE,+WINTHROP,+ME+04364&hl=en","15 TOWN HALL LANE, WINTHROP, ME 04364",DEA,NTBD_2018_OCT
BATH POLICE DEPARTMENT,BATH POLICE DEPARTMENT,250 WATER STREET,BATH,ME,4530,"http://maps.google.com/maps?q=250 WATER STREET,+BATH,+ME+04530&hl=en","250 WATER STREET, BATH, ME 04530",DEA,NTBD_2018_OCT
BELFAST POLICE DEPARTMENT,BELFAST POLICE DEPARTMENT,112 CHURCH STREET,BELFAST,ME,4915,"http://maps.google.com/maps?q=112 CHURCH STREET,+BELFAST,+ME+04915&hl=en","112 CHURCH STREET, BELFAST, ME 04915",DEA,NTBD_2018_OCT
BOOTHBAY HARBOR POLICE DEPARTMENT,BOOTHBAY HARBOR POLICE DEPARTMENT,11 HOWARD STREET,BOOTHBAY HARBOR,ME,4538,"http://maps.google.com/maps?q=11 HOWARD STREET,+BOOTHBAY HARBOR,+ME+04538&hl=en","11 HOWARD STREET, BOOTHBAY HARBOR, ME 04538",DEA,NTBD_2018_OCT
BRUNSWICK POLICE DEPARTMENT,BRUNSWICK POLICE DEPARTMENT,85 PLEASANT STREET,BRUNSWICK,ME,4011,"http://maps.google.com/maps?q=85 PLEASANT STREET,+BRUNSWICK,+ME+04011&hl=en","85 PLEASANT STREET, BRUNSWICK, ME 04011",DEA,NTBD_2018_OCT
CAMDEN POLICE DEPARTMENT,CAMDEN POLICE DEPARTMENT,31 WASHINGTON STREET,CAMDEN,ME,4843,"http://maps.google.com/maps?q=31 WASHINGTON STREET,+CAMDEN,+ME+04843&hl=en","31 WASHINGTON STREET, CAMDEN, ME 04843",DEA,NTBD_2018_OCT
CAPE ELIZABETH POLICE DEPARTMENT,CAPE ELIZABETH POLICE DEPARTMENT,325 OCEAN HOUSE ROAD,CAPE ELIZABETH,ME,4107,"http://maps.google.com/maps?q=325 OCEAN HOUSE ROAD,+CAPE ELIZABETH,+ME+04107&hl=en","325 OCEAN HOUSE ROAD, CAPE ELIZABETH, ME 04107",DEA,NTBD_2018_OCT
CUMBERLAND COUNTY SHERIFF'S OFFICE,CUMBERLAND COUNTY SHERIFF'S OFFICE FRONT LOBBY - MEDICATION COLLECTION BOX,36 COUNTY WAY,PORTLAND,ME,4102,"http://maps.google.com/maps?q=36 COUNTY WAY,+PORTLAND,+ME+04102&hl=en","36 COUNTY WAY, PORTLAND, ME 04102",DEA,NTBD_2018_OCT
CUMBERLAND COUNTY SHERIFF'S OFFICE,HARPSWELL TOWN HALL OPERATED BY CUMBERLAND COUNTY SHERIFF'S OFFICE,263 MOUNTAIN ROAD,HARPSWELL,ME,4079,"http://maps.google.com/maps?q=263 MOUNTAIN ROAD,+HARPSWELL,+ME+04079&hl=en","263 MOUNTAIN ROAD, HARPSWELL, ME 04079",DEA,NTBD_2018_OCT
CUMBERLAND COUNTY SHERIFF'S OFFICE,UNIVERSITY OF NEW ENGLAND SCHOOL OF PHARMACY ENTRANCE ON STEVENS STREET - OPERATED BY DEA,716 STEVENS AVENUE,PORTLAND,ME,4103,"http://maps.google.com/maps?q=716 STEVENS AVENUE,+PORTLAND,+ME+04103&hl=en","716 STEVENS AVENUE, PORTLAND, ME 04103",DEA,NTBD_2018_OCT
