Business Name,Address 1,Address 2,"City, State Zip",Map URL
13TH AVENUE PHARMACY INC,5211 13TH AVENUE,"BROOKLYN, NY 11219",http://maps.google.com/maps?q=TH%20AVENUE%20PHARMACY%20INC%2C5211%2013TH%20AVENUE%2C+BROOKLYN%2C+NY+11219,
AIDS HEALTHCARE FOUNDATION,475 ATLANTIC AVE,"BROOKLYN, NY 11217",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C475%20ATLANTIC%20AVE%2C+BROOKLYN%2C+NY+11217,
ALAN COHEN ENTERPRISES INC & ALAN B COHEN,524 BROADWAY,"MONTICELLO, NY 12701",http://maps.google.com/maps?q=ALAN%20COHEN%20ENTERPRISES%20INC%20%20ALAN%20B%20COHEN%2C524%20BROADWAY%2C+MONTICELLO%2C+NY+12701,
ALEXANDER INFUSION LLC,75 NASSAU TERMINAL ROAD,"NEW HYDE PARK, NY 11040",http://maps.google.com/maps?q=ALEXANDER%20INFUSION%20LLC%2C75%20NASSAU%20TERMINAL%20ROAD%2C+NEW%20HYDE%20PARK%2C+NY+11040,
ALLIANCE PHARMACY CO,1245 HIGHLAND AVE,"ABINGTON, PA 19001",http://maps.google.com/maps?q=ALLIANCE%20PHARMACY%20CO%2C1245%20HIGHLAND%20AVE%2C+ABINGTON%2C+PA+19001,
ALLURE SPECIALTY PHARMACY,4377 BRONX BLVD,"BRONX, NY 10466",http://maps.google.com/maps?q=ALLURE%20SPECIALTY%20PHARMACY%2C4377%20BRONX%20BLVD%2C+BRONX%2C+NY+10466,
AMI PHARMACY,4180 BROADWAY,"NEW YORK, NY 10033",http://maps.google.com/maps?q=AMI%20PHARMACY%2C4180%20BROADWAY%2C+NEW%20YORK%2C+NY+10033,
"ANAYA I, INC.",23 S. MAIN ST.,UNIT A,"FREEPORT, NY 11520",http://maps.google.com/maps?q=ANAYA%20I%20INC%2C23%20S.%20MAIN%20ST.%2C+FREEPORT%2C+NY+11520
APPLE VALLEY PHARMACY,8 WEST STREET,"WARWICK, NY 10990",http://maps.google.com/maps?q=APPLE%20VALLEY%20PHARMACY%2C8%20WEST%20STREET%2C+WARWICK%2C+NY+10990,
ARLINGTON PHARMACY INC,187 MILL STREET,"LIBERTY, NY 12754",http://maps.google.com/maps?q=ARLINGTON%20PHARMACY%20INC%2C187%20MILL%20STREET%2C+LIBERTY%2C+NY+12754,
ASCAN PHARMACY INC.,101-21 METROPOLITAN AVENUE,"FOREST HILLS, NY 11375",http://maps.google.com/maps?q=ASCAN%20PHARMACY%20INC%2C101-21%20METROPOLITAN%20AVENUE%2C+FOREST%20HILLS%2C+NY+11375,
