Business Name,Address 1,Address 2,"City, State Zip",Map URL
AIDS HEALTHCARE FOUNDATION,1701 NORTH MILLS AVENUE,"ORLANDO, FL 32803",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C1701%20NORTH%20MILLS%20AVENUE%2C+ORLANDO%2C+FL+32803,
AIDS HEALTHCARE FOUNDATION,2097 WILTON DR,"WILTON MANORS, FL 33305",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C2097%20WILTON%20DR%2C+WILTON%20MANORS%2C+FL+33305,
AIDS HEALTHCARE FOUNDATION,2900 BISCAYNE BLVD,"MIAMI, FL 33137",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C2900%20BISCAYNE%20BLVD%2C+MIAMI%2C+FL+33137,
AIDS HEALTHCARE FOUNDATION,3135 SR 580,SUITE 1,"SAFETY HARBOR, FL 34695",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C3135%20SR%20580%2C+SAFETY%20HARBOR%2C+FL+34695
AIDS HEALTHCARE FOUNDATION,3400 26TH AVE S,"ST PETERSBURG, FL 33711",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C3400%2026TH%20AVE%20S%2C+ST%20PETERSBURG%2C+FL+33711,
AIDS HEALTHCARE FOUNDATION,"6405 N FEDERAL HWY, STE 205","FT LAUDERDALE, FL 33308",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C6405%20N%20FEDERAL%20HWY%2C%20STE%20205%2C+FT%20LAUDERDALE%2C+FL+33308,
AIDS HEALTHCARE FOUNDATION,700 SE 3RD AVENUE,SUITE 100,"FT LAUDERDALE, FL 33316",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C700%20SE%203RD%20AVENUE%2C+FT%20LAUDERDALE%2C+FL+33316
"AIDS HEALTHCARE FOUNDATION, DBA AHF PHARMACY",1785 E. SUNRISE BLVD.,"FORT LAUDERDALE, FL 33304",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%20DBA%20AHF%20PHARMACY%2C1785%20E.%20SUNRISE%20BLVD.%2C+FORT%20LAUDERDALE%2C+FL+33304,
ALLEN MEDICAL SERVICES INC,6953 GALL BLVD,"ZEPHYRHILLS, FL 33542",http://maps.google.com/maps?q=ALLEN%20MEDICAL%20SERVICES%20INC%2C6953%20GALL%20BLVD%2C+ZEPHYRHILLS%2C+FL+33542,
ARTH LLC,1446 LEE BLVD,"LEHIGH ACRES, FL 33936",http://maps.google.com/maps?q=ARTH%20LLC%2C1446%20LEE%20BLVD%2C+LEHIGH%20ACRES%2C+FL+33936,
"ASPIRE HEALTH PARTNERS, INC.",PRINCETON PLAZA PHARMACY,1800 MERCY DRIVE,"ORLANDO, FL 32808",http://maps.google.com/maps?q=ASPIRE%20HEALTH%20PARTNERS%20INC%2CPRINCETON%20PLAZA%20PHARMACY%2C+ORLANDO%2C+FL+32808
BENZER FL 12 LLC,38160 MEDICAL CENTER AVE,"ZEPHYRHILLS, FL 33540",http://maps.google.com/maps?q=BENZER%20FL%20%20LLC%2C38160%20MEDICAL%20CENTER%20AVE%2C+ZEPHYRHILLS%2C+FL+33540,
BENZER FL 13 LLC,5908 BRECKENRIDGE PKWY,"TAMPA, FL 33610",http://maps.google.com/maps?q=BENZER%20FL%20%20LLC%2C5908%20BRECKENRIDGE%20PKWY%2C+TAMPA%2C+FL+33610,
BENZER FL 14 LLC,"700 1ST ST S, SUITE 1","WINTER HAVEN, FL 33880",http://maps.google.com/maps?q=BENZER%20FL%20%20LLC%2C700%201ST%20ST%20S%2C%20SUITE%201%2C+WINTER%20HAVEN%2C+FL+33880,
BENZER FL 15 LLC,11509 E MARTIN LUTHER KING JR BLVD,"MANGO, FL 33550",http://maps.google.com/maps?q=BENZER%20FL%20%20LLC%2C11509%20E%20MARTIN%20LUTHER%20KING%20JR%20BLVD%2C+MANGO%2C+FL+33550,
BENZER FL10 LLC,6056 VAN DYKE RD,"LUTZ, FL 33558",http://maps.google.com/maps?q=BENZER%20FL%20LLC%2C6056%20VAN%20DYKE%20RD%2C+LUTZ%2C+FL+33558,
BENZER FL11 LLC,2653 BRUCE B DOWNS BLVD STE 115,"WESLEY CHAPEL, FL 33544",http://maps.google.com/maps?q=BENZER%20FL%20LLC%2C2653%20BRUCE%20B%20DOWNS%20BLVD%20STE%20115%2C+WESLEY%20CHAPEL%2C+FL+33544,
BENZER FL3 LLC,105 S MOON AVE,"BRANDON, FL 33511",http://maps.google.com/maps?q=BENZER%20FL%20LLC%2C105%20S%20MOON%20AVE%2C+BRANDON%2C+FL+33511,
BENZER FL4 LLC,2722 W. OLD HIGHWAY 441,"MOUNT DORA, FL 32757",http://maps.google.com/maps?q=BENZER%20FL%20LLC%2C2722%20W.%20OLD%20HIGHWAY%20441%2C+MOUNT%20DORA%2C+FL+32757,
BENZER FL7 LLC,3535 US HWY 19,"NEW PORT RICHEY, FL 34652",http://maps.google.com/maps?q=BENZER%20FL%20LLC%2C3535%20US%20HWY%2019%2C+NEW%20PORT%20RICHEY%2C+FL+34652,
BENZER FL8 LLC,6280 66TH ST N,"PINELLAS PARK, FL 33781",http://maps.google.com/maps?q=BENZER%20FL%20LLC%2C6280%2066TH%20ST%20N%2C+PINELLAS%20PARK%2C+FL+33781,
BENZER FL9 LLC,14306 N DALE MABRY HWY STE D,"TAMPA, FL 33618",http://maps.google.com/maps?q=BENZER%20FL%20LLC%2C14306%20N%20DALE%20MABRY%20HWY%20STE%20D%2C+TAMPA%2C+FL+33618,
BENZER PHARMACY FL1 LLC,1250 NW 7TH ST UNIT 101-102,BENZER PHARMACY,"MIAMI, FL 33125",http://maps.google.com/maps?q=BENZER%20PHARMACY%20FL%20LLC%2C1250%20NW%207TH%20ST%20UNIT%20101-102%2C+MIAMI%2C+FL+33125
BENZER PHARMACY FL2 LLC,60 NE 1ST ST,"POMPANO BEACH, FL 33060",http://maps.google.com/maps?q=BENZER%20PHARMACY%20FL%20LLC%2C60%20NE%201ST%20ST%2C+POMPANO%20BEACH%2C+FL+33060,
"BROOKSVILLE DRUGS, INC.",80 PONCE DE LEON BLVD,"BROOKSVILLE, FL 34601",http://maps.google.com/maps?q=BROOKSVILLE%20DRUGS%20INC%2C80%20PONCE%20DE%20LEON%20BLVD%2C+BROOKSVILLE%2C+FL+34601,
BROWARD ADDICTION RECOVERY CTR,325 SW 28TH ST,"FORT LAUDERDALE, FL 33315",http://maps.google.com/maps?q=BROWARD%20ADDICTION%20RECOVERY%20CTR%2C325%20SW%2028TH%20ST%2C+FORT%20LAUDERDALE%2C+FL+33315,
COLLIER HEALTH SERVICES,1454 MADISON AVE W,"IMMOKALEE, FL 34142",http://maps.google.com/maps?q=COLLIER%20HEALTH%20SERVICES%2C1454%20MADISON%20AVE%20W%2C+IMMOKALEE%2C+FL+34142,
"CYPRESS PHARMACY, INC",9451 CYPRESS LAKE DR,"FORT MYERS, FL 33919",http://maps.google.com/maps?q=CYPRESS%20PHARMACY%20INC%2C9451%20CYPRESS%20LAKE%20DR%2C+FORT%20MYERS%2C+FL+33919,
EDWARDS PHARMACY OF INDIAN ROCKS LLC,12071 INDIAN ROCKS ROAD,"LARGO, FL 33774",http://maps.google.com/maps?q=EDWARDS%20PHARMACY%20OF%20INDIAN%20ROCKS%20LLC%2C12071%20INDIAN%20ROCKS%20ROAD%2C+LARGO%2C+FL+33774,
EMISWET E-Z LLC,4942 W SR 46 SUITE 1014,"SANFORD, FL 32771",http://maps.google.com/maps?q=EMISWET%20EZ%20LLC%2C4942%20W%20SR%2046%20SUITE%201014%2C+SANFORD%2C+FL+32771,
EXPRESS RX PHARMACY INC,3421 SW 8TH ST,"MIAMI, FL 33135",http://maps.google.com/maps?q=EXPRESS%20RX%20PHARMACY%20INC%2C3421%20SW%208TH%20ST%2C+MIAMI%2C+FL+33135,
FOREST HILL PHARMACY LLC,2939 FOREST HILL BLVD,"WEST PALM BEACH, FL 33406",http://maps.google.com/maps?q=FOREST%20HILL%20PHARMACY%20LLC%2C2939%20FOREST%20HILL%20BLVD%2C+WEST%20PALM%20BEACH%2C+FL+33406,
"GULF COAST PHARMACY, LLC",6631 ORION DRIVE,SUITE 112,"FORT MYERS, FL 33912",http://maps.google.com/maps?q=GULF%20COAST%20PHARMACY%20LLC%2C6631%20ORION%20DRIVE%2C+FORT%20MYERS%2C+FL+33912
"HOLIDAY CVS, L.L.C.",101 HIALEAH DR,"HIALEAH, FL 33010",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C101%20HIALEAH%20DR%2C+HIALEAH%2C+FL+33010,
"HOLIDAY CVS, L.L.C.",105 S PEBBLE BEACH BLVD,"SUN CITY CENTER, FL 33573",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C105%20S%20PEBBLE%20BEACH%20BLVD%2C+SUN%20CITY%20CENTER%2C+FL+33573,
"HOLIDAY CVS, L.L.C.",10623 GIBSONTON DR,"RIVERVIEW, FL 33569",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C10623%20GIBSONTON%20DR%2C+RIVERVIEW%2C+FL+33569,
"HOLIDAY CVS, L.L.C.",10720 SW 72 STREET,"MIAMI, FL 33173",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C10720%20SW%2072%20STREET%2C+MIAMI%2C+FL+33173,
"HOLIDAY CVS, L.L.C.",110 BULLARD PKWY,"TEMPLE TERRACE, FL 33617",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C110%20BULLARD%20PKWY%2C+TEMPLE%20TERRACE%2C+FL+33617,
"HOLIDAY CVS, L.L.C.",11000 N. MILITARY TRAIL,"PALM BEACH GARDENS, FL 33410",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C11000%20N.%20MILITARY%20TRAIL%2C+PALM%20BEACH%20GARDENS%2C+FL+33410,
"HOLIDAY CVS, L.L.C.",11115 SPRING HILL DR,"SPRING HILL, FL 34609",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C11115%20SPRING%20HILL%20DR%2C+SPRING%20HILL%2C+FL+34609,
"HOLIDAY CVS, L.L.C.",1150 NE 26TH ST,"WILTON MANORS, FL 33305",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C1150%20NE%2026TH%20ST%2C+WILTON%20MANORS%2C+FL+33305,
"HOLIDAY CVS, L.L.C.",1205 W VINE ST,"KISSIMMEE, FL 34741",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C1205%20W%20VINE%20ST%2C+KISSIMMEE%2C+FL+34741,
"HOLIDAY CVS, L.L.C.",12650 SW 88TH ST.,"MIAMI, FL 33186",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C12650%20SW%2088TH%20ST.%2C+MIAMI%2C+FL+33186,
"HOLIDAY CVS, L.L.C.",12804 US HWY 301,"DADE CITY, FL 33525",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C12804%20US%20HWY%20301%2C+DADE%20CITY%2C+FL+33525,
"HOLIDAY CVS, L.L.C.",1350 LEE BLVD,"LEHIGH ACRES, FL 33936",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C1350%20LEE%20BLVD%2C+LEHIGH%20ACRES%2C+FL+33936,
"HOLIDAY CVS, L.L.C.",13749 SW 152ND ST,"MIAMI, FL 33177",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C13749%20SW%20152ND%20ST%2C+MIAMI%2C+FL+33177,
"HOLIDAY CVS, L.L.C.",13998 WALSINGHAM RD,"LARGO, FL 33774",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C13998%20WALSINGHAM%20RD%2C+LARGO%2C+FL+33774,
"HOLIDAY CVS, L.L.C.",15395 NW 82ND AVE.,"MIAMI LAKES, FL 33016",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C15395%20NW%2082ND%20AVE.%2C+MIAMI%20LAKES%2C+FL+33016,
"HOLIDAY CVS, L.L.C.",1700 S. FEDERAL HWY.,"FORT LAUDERDALE, FL 33316",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C1700%20S.%20FEDERAL%20HWY.%2C+FORT%20LAUDERDALE%2C+FL+33316,
"HOLIDAY CVS, L.L.C.",1800 E. HWY 50,"CLERMONT, FL 34711",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C1800%20E.%20HWY%2050%2C+CLERMONT%2C+FL+34711,
"HOLIDAY CVS, L.L.C.",1929 BRUCE B. DOWNS BLVD.,"WESLEY CHAPEL, FL 33543",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C1929%20BRUCE%20B.%20DOWNS%20BLVD.%2C+WESLEY%20CHAPEL%2C+FL+33543,
"HOLIDAY CVS, L.L.C.",2200 34TH STREET NORTH,"SAINT PETERSBURG, FL 33713",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C2200%2034TH%20STREET%20NORTH%2C+SAINT%20PETERSBURG%2C+FL+33713,
"HOLIDAY CVS, L.L.C.",2391 W. 68TH ST.,"HIALEAH, FL 33016",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C2391%20W.%2068TH%20ST.%2C+HIALEAH%2C+FL+33016,
"HOLIDAY CVS, L.L.C.",2500 SW 22ND ST,"MIAMI, FL 33145",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C2500%20SW%2022ND%20ST%2C+MIAMI%2C+FL+33145,
"HOLIDAY CVS, L.L.C.",30387 US HWY 19 N,"CLEARWATER, FL 33761",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C30387%20US%20HWY%2019%20N%2C+CLEARWATER%2C+FL+33761,
"HOLIDAY CVS, L.L.C.",3501 54TH AVE S,"SAINT PETERSBURG, FL 33711",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C3501%2054TH%20AVE%20S%2C+SAINT%20PETERSBURG%2C+FL+33711,
"HOLIDAY CVS, L.L.C.",3580 N FEDERAL HWY,"LIGHTHOUSE POINT, FL 33064",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C3580%20N%20FEDERAL%20HWY%2C+LIGHTHOUSE%20POINT%2C+FL+33064,
"HOLIDAY CVS, L.L.C.",37943 EILAND BLVD,"ZEPHYRHILLS, FL 33542",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C37943%20EILAND%20BLVD%2C+ZEPHYRHILLS%2C+FL+33542,
"HOLIDAY CVS, L.L.C.",403 N ALEXANDER ST,"PLANT CITY, FL 33563",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C403%20N%20ALEXANDER%20ST%2C+PLANT%20CITY%2C+FL+33563,
"HOLIDAY CVS, L.L.C.",4599 SHERIDAN ST.,"HOLLYWOOD, FL 33021",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C4599%20SHERIDAN%20ST.%2C+HOLLYWOOD%2C+FL+33021,
"HOLIDAY CVS, L.L.C.",5010 S FLORIDA AVE,"LAKELAND, FL 33813",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C5010%20S%20FLORIDA%20AVE%2C+LAKELAND%2C+FL+33813,
"HOLIDAY CVS, L.L.C.",5650 RED BUG LAKE RD,"WINTER SPRINGS, FL 32708",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C5650%20RED%20BUG%20LAKE%20RD%2C+WINTER%20SPRINGS%2C+FL+32708,
"HOLIDAY CVS, L.L.C.",6105 US HWY 98 N,"LAKELAND, FL 33809",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C6105%20US%20HWY%2098%20N%2C+LAKELAND%2C+FL+33809,
"HOLIDAY CVS, L.L.C.",611 S HOWARD AVE,"TAMPA, FL 33606",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C611%20S%20HOWARD%20AVE%2C+TAMPA%2C+FL+33606,
"HOLIDAY CVS, L.L.C.",65 E MAIN ST,"APOPKA, FL 32703",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C65%20E%20MAIN%20ST%2C+APOPKA%2C+FL+32703,
"HOLIDAY CVS, L.L.C.",6690 EAGLE NEST LN,"MIAMI LAKES, FL 33014",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C6690%20EAGLE%20NEST%20LN%2C+MIAMI%20LAKES%2C+FL+33014,
"HOLIDAY CVS, L.L.C.",6701 N. DALE MABRY HWY.,"TAMPA, FL 33614",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C6701%20N.%20DALE%20MABRY%20HWY.%2C+TAMPA%2C+FL+33614,
"HOLIDAY CVS, L.L.C.",690 NW 57TH AVE.,"MIAMI, FL 33126",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C690%20NW%2057TH%20AVE.%2C+MIAMI%2C+FL+33126,
"HOLIDAY CVS, L.L.C.",704 W MARTIN LUTHER KING JR BLVD,"SEFFNER, FL 33584",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C704%20W%20MARTIN%20LUTHER%20KING%20JR%20BLVD%2C+SEFFNER%2C+FL+33584,
"HOLIDAY CVS, L.L.C.",7300 CURRY FORD RD.,"ORLANDO, FL 32822",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C7300%20CURRY%20FORD%20RD.%2C+ORLANDO%2C+FL+32822,
"HOLIDAY CVS, L.L.C.",7599 W SAND LAKE RD,"ORLANDO, FL 32819",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C7599%20W%20SAND%20LAKE%20RD%2C+ORLANDO%2C+FL+32819,
"HOLIDAY CVS, L.L.C.",8001 9TH ST N,"SAINT PETERSBURG, FL 33702",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C8001%209TH%20ST%20N%2C+SAINT%20PETERSBURG%2C+FL+33702,
"HOLIDAY CVS, L.L.C.",8603 WEST HILLSBOROUGH AVE,"TAMPA, FL 33615",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C8603%20WEST%20HILLSBOROUGH%20AVE%2C+TAMPA%2C+FL+33615,
"HOLIDAY CVS, L.L.C.",8695 CORAL WAY,"MIAMI, FL 33155",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C8695%20CORAL%20WAY%2C+MIAMI%2C+FL+33155,
"HOLIDAY CVS, L.L.C.",8765 S. DIXIE HWY.,"MIAMI, FL 33143",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C8765%20S.%20DIXIE%20HWY.%2C+MIAMI%2C+FL+33143,
"HOLIDAY CVS, L.L.C.",9031 SW 107TH AVE,"MIAMI, FL 33176",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C9031%20SW%20107TH%20AVE%2C+MIAMI%2C+FL+33176,
"HOLIDAY CVS, L.L.C.",9940 YAMATO RD.,"BOCA RATON, FL 33434",http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C9940%20YAMATO%20RD.%2C+BOCA%20RATON%2C+FL+33434,
J-M WARD ENTERPRISES LLC,9048 BONITA BEACH RD SE,"BONITA SPRINGS, FL 34135",http://maps.google.com/maps?q=JM%20WARD%20ENTERPRISES%20LLC%2C9048%20BONITA%20BEACH%20RD%20SE%2C+BONITA%20SPRINGS%2C+FL+34135,
