"1411","316 W NEPESSING, MI, LAPEER, 48446","No_Match"
"1410","316 WEST NEPESSING STREET, MI, LAPEER, 48446","No_Match"
"1415","14004 WALSINGHAM RD, FL, LARGO, 33774","No_Match"
"941","1810 FREEDOM BLVD, CA, FREEDOM, 95019","No_Match"
"1414","13998 WALSINGHAM RD, FL, LARGO, 33774","No_Match"
"942","37323 FREMONT BLVD., CA, FREMONT, 94536","No_Match"
"1413","12071 INDIAN ROCKS ROAD, FL, LARGO, 33774","No_Match"
"1412","702 E. LINCOLNWAY, IN, LAPORTE, 46350","No_Match"
"940","1201 HOSPITAL DRIVE, VA, FREDERICKSBURG, 22401","No_Match"
"1419","9415 W. DESERT INN, NV, LAS VEGAS, 89117","No_Match"
"945","2000 MOWRY AVE, CA, FREMONT, 94538","No_Match"
"946","OHLONE PHARMACY #162, 39400 PASEO PADRE PARKWAY, CA, FREMONT, 94538","No_Match"
"1418","4470 E. BONANZA ROAD, NV, LAS VEGAS, 89110","No_Match"
"943","2557 MOWRY AVE, SUITE # 11, CA, FREMONT, 94538","No_Match"
"1417","4905 W TROPICANA AVE, NV, LAS VEGAS, 89103","No_Match"
"944","1999 MOWRY AVENUE, SUITE #2A, CA, FREMONT, 94538","No_Match"
"1416","3100 N. MAIN ST., NM, LAS CRUCES, 88001","No_Match"
"949","1016 W SHAW AVE, CA, FRESNO, 93711","No_Match"
"947","34460 FREMONT BLVD SUITE B, CA, FREMONT, 94555","No_Match"
"948","PHARMACY, 715 SOUTH TAFT AVE, OH, FREMONT, 43420","No_Match"
"531","305 E. LLANO ESTACADO BLVD, NM, CLOVIS, 88101","No_Match"
"530","790 SOUTH CLOVERDALE BOULEVARD, CA, CLOVERDALE, 95425","No_Match"
"2951","37943 EILAND BLVD, FL, ZEPHYRHILLS, 33542","No_Match"
"2950","2899 BELL STREET, OH, ZANESVILLE, 43701","No_Match"
"535","4150 N ATLANTIC AVE, FL, COCOA BEACH, 32931","No_Match"
"1821","1145 KEMPTON STREET, MA, NEW BEDFORD, 02740","No_Match"
"534","4292 N ATLANTIC AVE, FL, COCOA BEACH, 32931","No_Match"
"1822","2720 SOUTH 163RD STREET, WI, NEW BERLIN, 53151","No_Match"
"2952","6429 GALL BLVD, FL, ZEPHYRHILLS, 33542","No_Match"
"533","4200 HOSPITAL ROAD, PA, COAL TOWNSHIP, 17866","No_Match"
"532","17 SODUS STREET, NY, CLYDE, 14433","No_Match"
"1820","1002 SIXTH ST., PO BOX 541, IA, NEVADA, 50201","No_Match"
"539","101 NORTH WALNUT STREET, IA, COLFAX, 50054","No_Match"
"1825","320 SOUTH MAIN STREET, IN, NEW CASTLE, 47362","No_Match"
"538","211 E RAILWAY, MI, COLEMAN, 48618","No_Match"
"1826","112 N LIBERTY ST, PA, NEW CASTLE, 16102","No_Match"
