Business Name,Address 1,Address 2,"City, State Zip",Map URL
ACCESS PHARMACY,17833 1ST AVE. S. STE. C,,"NORMANDY PARK, WA 98148",http://maps.google.com/maps?q=ACCESS%20PHARMACY%2C17833%201ST%20AVE.%20S.%20STE.%20C%2C+NORMANDY%20PARK%2C+WA+98148
AIRWAY HGHTS CORRECTIONS CTR,11919 W. SPRAGUE AVENUE,P O BOX 1899,"AIRWAY HEIGHTS, WA 99001",http://maps.google.com/maps?q=AIRWAY%20HGHTS%20CORRECTIONS%20CTR%2C11919%20W.%20SPRAGUE%20AVENUE%2C+AIRWAY%20HEIGHTS%2C+WA+99001
ALEXANDRIA DRUGS LLC,25680 104TH AVE SE,,"KENT, WA 98030",http://maps.google.com/maps?q=ALEXANDRIA%20DRUGS%20LLC%2C25680%20104TH%20AVE%20SE%2C+KENT%2C+WA+98030
"ALEXANDRIA DRUGS, LLC",515 MINOR AVE,SUITE# 120,"SEATTLE, WA 98104",http://maps.google.com/maps?q=ALEXANDRIA%20DRUGS%20LLC%2C515%20MINOR%20AVE%2C+SEATTLE%2C+WA+98104
APOTHECARY AT GOOD SAMARITAN,1040 NW 22ND AVE,STE 100,"PORTLAND, OR 97210",http://maps.google.com/maps?q=APOTHECARY%20AT%20GOOD%20SAMARITAN%2C1040%20NW%2022ND%20AVE%2C+PORTLAND%2C+OR+97210
APOTHECARY AT SALMON CREEK,2121 N.E. 139TH STREET,SUITE 310,"VANCOUVER, WA 98686",http://maps.google.com/maps?q=APOTHECARY%20AT%20SALMON%20CREEK%2C2121%20N.E.%20139TH%20STREET%2C+VANCOUVER%2C+WA+98686
ARLINGTON PHARMACY,DUSKIN CORY,540  N WEST AVENUE,"ARLINGTON, WA 98223",http://maps.google.com/maps?q=ARLINGTON%20PHARMACY%2CDUSKIN%20CORY%2C+ARLINGTON%2C+WA+98223
BENEWAH COMMUNITY HOSPITAL,229 S. 7TH STREET,,"ST MARIES, ID 83861",http://maps.google.com/maps?q=BENEWAH%20COMMUNITY%20HOSPITAL%2C229%20S.%207TH%20STREET%2C+ST%20MARIES%2C+ID+83861
CAMP RILEY DRUG INC DBA PHARMASAVE MONROE,17788 147TH ST SE,,"MONROE, WA 98272",http://maps.google.com/maps?q=CAMP%20RILEY%20DRUG%20INC%20DBA%20PHARMASAVE%20MONROE%2C17788%20147TH%20ST%20SE%2C+MONROE%2C+WA+98272
CARLSON'S UMATILLA DRUG,821 6TH ST,PO BOX 1497,"UMATILLA, OR 97882",http://maps.google.com/maps?q=CARLSONS%20UMATILLA%20DRUG%2C821%206TH%20ST%2C+UMATILLA%2C+OR+97882
